  Frequency            , DB(V(N00099)-V(N00103)), DB(V(N00115)-V(N00119)), DB(V(N00107)-V(N00111)), DB(V(N00123)-V(N00131)), DB((V(N00115)-V(N00119))/(V(N00099)-V(N00103))), DB((V(N00123)-V(N00131))/(V(N00107)-V(N00111)))
  1.575796022744e+08  ,-6.148466816056e+00  ,-6.087439577629e+01  ,-6.249107439156e+00  ,-6.868157846826e+01  ,-5.472592896024e+01  ,-6.243247102910e+01  
  1.584893192461e+08  ,-6.138041259755e+00  ,-6.078470533551e+01  ,-6.235192000560e+00  ,-6.858359883503e+01  ,-5.464666407575e+01  ,-6.234840683447e+01  
  1.594042880712e+08  ,-6.127467170230e+00  ,-6.069424316779e+01  ,-6.221146197247e+00  ,-6.848512087969e+01  ,-5.456677599756e+01  ,-6.226397468245e+01  
  1.603245390690e+08  ,-6.116743125614e+00  ,-6.060299485070e+01  ,-6.206968636015e+00  ,-6.838614318712e+01  ,-5.448625172508e+01  ,-6.217917455110e+01  
  1.612501027338e+08  ,-6.105867695860e+00  ,-6.051094592771e+01  ,-6.192657898473e+00  ,-6.828666378303e+01  ,-5.440507823185e+01  ,-6.209400588455e+01  
  1.621810097359e+08  ,-6.094839443771e+00  ,-6.041808190086e+01  ,-6.178212542044e+00  ,-6.818668014370e+01  ,-5.432324245709e+01  ,-6.200846760165e+01  
  1.631172909228e+08  ,-6.083656924206e+00  ,-6.032438822173e+01  ,-6.163631098039e+00  ,-6.808618920067e+01  ,-5.424073129752e+01  ,-6.192255810263e+01  
  1.640589773200e+08  ,-6.072318680960e+00  ,-6.022985028351e+01  ,-6.148912071325e+00  ,-6.798518733945e+01  ,-5.415753160255e+01  ,-6.183627526813e+01  
  1.650061001320e+08  ,-6.060823247958e+00  ,-6.013445340967e+01  ,-6.134053940783e+00  ,-6.788367040576e+01  ,-5.407363016171e+01  ,-6.174961646498e+01  
  1.659586907438e+08  ,-6.049169148430e+00  ,-6.003818284884e+01  ,-6.119055157676e+00  ,-6.778163370098e+01  ,-5.398901370041e+01  ,-6.166257854330e+01  
  1.669167807211e+08  ,-6.037354893131e+00  ,-5.994102376112e+01  ,-6.103914145668e+00  ,-6.767907198631e+01  ,-5.390366886799e+01  ,-6.157515784064e+01  
  1.678804018123e+08  ,-6.025378981165e+00  ,-5.984296121393e+01  ,-6.088629300190e+00  ,-6.757597947179e+01  ,-5.381758223277e+01  ,-6.148735017160e+01  
  1.688495859487e+08  ,-6.013239898989e+00  ,-5.974398017169e+01  ,-6.073198987949e+00  ,-6.747234981925e+01  ,-5.373074027271e+01  ,-6.139915083130e+01  
  1.698243652462e+08  ,-6.000936118092e+00  ,-5.964406548498e+01  ,-6.057621546098e+00  ,-6.736817613096e+01  ,-5.364312936689e+01  ,-6.131055458486e+01  
  1.708047720060e+08  ,-5.988466097897e+00  ,-5.954320188477e+01  ,-6.041895281976e+00  ,-6.726345094254e+01  ,-5.355473578688e+01  ,-6.122155566056e+01  
  1.717908387158e+08  ,-5.975828283203e+00  ,-5.944137397523e+01  ,-6.026018472685e+00  ,-6.715816621369e+01  ,-5.346554569203e+01  ,-6.113214774100e+01  
  1.727825980508e+08  ,-5.963021103787e+00  ,-5.933856622100e+01  ,-6.009989363711e+00  ,-6.705231331364e+01  ,-5.337554511722e+01  ,-6.104232394993e+01  
  1.737800828749e+08  ,-5.950042975022e+00  ,-5.923476294293e+01  ,-5.993806169825e+00  ,-6.694588301042e+01  ,-5.328471996791e+01  ,-6.095207684060e+01  
  1.747833262418e+08  ,-5.936892296730e+00  ,-5.912994831081e+01  ,-5.977467072886e+00  ,-6.683886545053e+01  ,-5.319305601408e+01  ,-6.086139837765e+01  
  1.757923613959e+08  ,-5.923567453583e+00  ,-5.902410633269e+01  ,-5.960970222463e+00  ,-6.673125013910e+01  ,-5.310053887911e+01  ,-6.077027991664e+01  
  1.768072217734e+08  ,-5.910066814540e+00  ,-5.891722085306e+01  ,-5.944313734462e+00  ,-6.662302592302e+01  ,-5.300715403852e+01  ,-6.067871218855e+01  
  1.778279410039e+08  ,-5.896388732163e+00  ,-5.880927554364e+01  ,-5.927495691666e+00  ,-6.651418096043e+01  ,-5.291288681148e+01  ,-6.058668526876e+01  
  1.788545529108e+08  ,-5.882531544090e+00  ,-5.870025389921e+01  ,-5.910514141646e+00  ,-6.640470269391e+01  ,-5.281772235512e+01  ,-6.049418855226e+01  
  1.798870915129e+08  ,-5.868493570757e+00  ,-5.859013923444e+01  ,-5.893367097474e+00  ,-6.629457782139e+01  ,-5.272164566368e+01  ,-6.040121072391e+01  
  1.809255910254e+08  ,-5.854273116553e+00  ,-5.847891467829e+01  ,-5.876052536166e+00  ,-6.618379225597e+01  ,-5.262464156173e+01  ,-6.030773971980e+01  
  1.819700858610e+08  ,-5.839868469553e+00  ,-5.836656317554e+01  ,-5.858568399324e+00  ,-6.607233108971e+01  ,-5.252669470598e+01  ,-6.021376269039e+01  
  1.830206106311e+08  ,-5.825277900788e+00  ,-5.825306748404e+01  ,-5.840912591781e+00  ,-6.596017854698e+01  ,-5.242778958326e+01  ,-6.011926595520e+01  
