Frequency_Hz,OUT_Vpk,OUT_Vpp_50ohm,OUT_rel_dB,OUT_Phase_deg,OP_OUT_Vpk,PIN_Vpk,NIN_Vpk
1496235.6,0.79961209,1.59922418,0.00862779907362,-1.5969839,1.6002302,0.17222523,0.17185477
1525223,0.79961411,1.59922822,0.00864974155689,-1.628684,1.6002338,0.17222535,0.17185773
1554771.9,0.79961591,1.59923182,0.00866929421805,-1.6609997,1.600237,0.17222547,0.17186066
1584893.3,0.79961745,1.5992349,0.00868602257099,-1.6939424,1.6002395,0.1722256,0.17186356
1615598.1,0.79961862,1.59923724,0.00869873175267,-1.7275239,1.6002415,0.17222573,0.17186643
1646897.9,0.79961958,1.59923916,0.00870915978528,-1.7617562,1.6002429,0.17222587,0.17186927
1678804,0.79962028,1.59924056,0.00871676355117,-1.7966513,1.6002438,0.17222601,0.17187207
1711328.3,0.79962062,1.59924124,0.00872045680648,-1.8322219,1.6002439,0.17222616,0.17187486
1744482.8,0.79962062,1.59924124,0.00872045680648,-1.8684805,1.6002435,0.17222631,0.17187761
1778279.4,0.79962032,1.59924064,0.00871719805188,-1.9054399,1.6002423,0.17222647,0.17188032
1812730.9,0.79961968,1.59923936,0.00871024603796,-1.9431135,1.6002405,0.17222664,0.17188301
1847849.8,0.79961872,1.59923744,0.00869981800665,-1.9815147,1.6002379,0.17222682,0.17188566
1883649.1,0.79961741,1.59923482,0.00868558806873,-2.0206569,1.6002346,0.172227,0.17188827
1920142,0.79961571,1.59923142,0.00866712170232,-2.0605546,1.6002305,0.17222719,0.17189086
1957341.8,0.79961361,1.59922722,0.00864431025431,-2.1012217,1.6002258,0.17222738,0.17189343
1995262.4,0.79961119,1.59922238,0.00861802270184,-2.1426728,1.6002201,0.17222758,0.17189595
2033917.5,0.79960829,1.59921658,0.00858652098457,-2.1849228,1.6002137,0.17222779,0.17189845
2073321.6,0.79960509,1.59921018,0.00855176033638,-2.2279865,1.6002065,0.17222802,0.17190091
2113489,0.79960136,1.59920272,0.00851124228026,-2.27188,1.6001983,0.17222825,0.17190337
2154434.8,0.79959726,1.59919452,0.0084667047887,-2.3166184,1.6001893,0.17222849,0.17190577
2196173.5,0.79959271,1.59918542,0.00841727876854,-2.3622178,1.6001793,0.17222873,0.17190817
2238721.3,0.7995877,1.5991754,0.0083628555067,-2.4086949,1.6001684,0.172229,0.17191053
2282093,0.79958225,1.5991645,0.00830365216996,-2.456066,1.6001565,0.17222926,0.17191287
2326305,0.7995763,1.5991526,0.00823901687367,-2.5043484,1.6001437,0.17222953,0.17191519
2371373.8,0.79956982,1.59913964,0.00816862360047,-2.5535596,1.6001297,0.17222983,0.17191749
2417315.5,0.79956286,1.59912572,0.00809301537529,-2.603717,1.6001148,0.17223013,0.17191976
2464147.3,0.7995554,1.5991108,0.00801197479397,-2.6548386,1.6000988,0.17223044,0.17192202
2511886.5,0.79954738,1.59909476,0.00792484989397,-2.706943,1.6000817,0.17223077,0.17192426
2560550.5,0.79953878,1.59907756,0.00783142321971,-2.7600488,1.6000634,0.1722311,0.17192649
2610157.3,0.79952966,1.59905932,0.00773234639283,-2.8141754,1.600044,0.17223146,0.17192871
2660725,0.79951995,1.5990399,0.00762685874835,-2.8693423,1.6000232,0.17223182,0.1719309
2712272.5,0.79950959,1.59901918,0.00751430821141,-2.9255691,1.6000013,0.1722322,0.17193309
2764818.8,0.7994987,1.5989974,0.00739599820795,-2.9828763,1.5999781,0.17223259,0.17193528
2818383,0.79948709,1.59897418,0.00726986428065,-3.0412847,1.5999536,0.17223301,0.17193746
2872984.8,0.79947483,1.59894966,0.00713666660329,-3.1008152,1.5999276,0.17223342,0.17193962
2928644.5,0.79946193,1.59892386,0.00699651349763,-3.1614896,1.5999003,0.17223387,0.17194179
2985382.5,0.79944833,1.59889666,0.00684875273577,-3.2233294,1.5998716,0.17223434,0.17194397
3043220,0.79943398,1.59886796,0.00669284067704,-3.2863572,1.5998412,0.17223481,0.17194614
3102177.8,0.7994189,1.5988378,0.00652899418762,-3.3505958,1.5998095,0.17223531,0.17194832
3162277.8,0.79940305,1.5988061,0.00635677819975,-3.4160686,1.599776,0.17223583,0.17195051
3223542,0.79938638,1.59877276,0.00617564893088,-3.4827991,1.599741,0.17223637,0.17195271
3285993.3,0.79936891,1.59873782,0.00598582314211,-3.5508114,1.5997043,0.17223692,0.17195492
3349654.5,0.79935062,1.59870124,0.00578708293971,-3.6201301,1.5996657,0.1722375,0.17195714
3414548.8,0.79933146,1.59866292,0.00557888438972,-3.6907805,1.5996254,0.1722381,0.17195938
3480700.5,0.79931136,1.59862272,0.00536046614201,-3.762788,1.5995832,0.17223873,0.17196165
3548134,0.79929035,1.5985807,0.00513215343577,-3.8361787,1.5995391,0.17223938,0.17196393
3616873.5,0.79926841,1.59853682,0.00489372814489,-3.910979,1.599493,0.17224006,0.17196623
3686945,0.79924545,1.5984909,0.0046442113517,-3.9872161,1.5994448,0.17224076,0.17196858
3758374,0.79922147,1.59844294,0.00438360210051,-4.0649177,1.5993945,0.17224149,0.17197095
3831186.8,0.79919641,1.59839282,0.00411124729634,-4.1441121,1.5993419,0.17224225,0.17197336
3905410.3,0.79917031,1.59834062,0.00382758057989,-4.2248272,1.5992871,0.17224304,0.17197581
3981071.8,0.79914305,1.5982861,0.00353129656264,-4.307093,1.59923,0.17224387,0.17197829
4058199,0.79911459,1.59822918,0.00322195917806,-4.3909388,1.5991704,0.17224472,0.17198082
4136820.5,0.79908492,1.59816984,0.00289945833386,-4.4763953,1.5991083,0.1722456,0.17198341
4216965,0.79905401,1.59810802,0.00256346645767,-4.5634929,1.5990436,0.17224651,0.17198603
4298662.5,0.79902181,1.59804362,0.00221343845164,-4.6522631,1.5989762,0.17224748,0.17198872
4381942.5,0.79898823,1.59797646,0.00184839421939,-4.742739,1.5989059,0.17224847,0.17199148
4466836,0.7989533,1.5979066,0.00146865801577,-4.8349515,1.5988329,0.17224951,0.17199429
4553374,0.79891694,1.59783388,0.00107335814799,-4.9289354,1.5987568,0.17225057,0.17199717
4641589,0.79887907,1.59775814,0.000661622684147,-5.0247241,1.5986776,0.1722517,0.17200013
4731512.5,0.79883961,1.59767922,0.000232579437075,-5.1223521,1.5985953,0.17225286,0.17200316
4823178.5,0.79879862,1.59759724,-0.00021312173564,-5.2218542,1.5985096,0.17225405,0.17200627
4916620.5,0.79875592,1.59751184,-0.000677440766194,-5.3232676,1.5984204,0.17225531,0.17200947
5011872.5,0.79871159,1.59742318,-0.00115951064911,-5.4266267,1.5983278,0.17225661,0.17201276
5108970,0.79866539,1.59733078,-0.00166194445956,-5.5319713,1.5982315,0.17225797,0.17201614
